date,open,close,high,low,volume_lots,amount_yuan,amplitude_pct,change_pct,change_amount,turnover_rate_pct
2026-06-24,66.64,66.31,67.49,65.74,309215,2057741825.00,2.62,-0.76,-0.51,1.28
2026-06-25,66.66,66.84,70.32,66.42,517112,3529842077.00,5.88,0.80,0.53,2.15
2026-06-26,66.40,63.28,66.75,63.13,430688,2769738954.00,5.42,-5.33,-3.56,1.79
2026-06-29,62.98,65.23,65.97,62.01,482978,3074732036.00,6.26,3.08,1.95,2.00
2026-06-30,66.53,66.33,67.28,64.39,423349,2797331637.00,4.43,1.69,1.10,1.76
2026-07-01,66.40,68.20,69.38,65.74,472080,3209138997.00,5.49,2.82,1.87,1.96
2026-07-02,67.47,68.40,71.79,67.31,703358,4911106911.00,6.57,0.29,0.20,2.92
2026-07-03,67.50,72.15,74.63,67.40,970202,6938271736.00,10.57,5.48,3.75,4.03
2026-07-06,71.70,68.33,71.94,68.20,697486,4839802930.00,5.18,-5.29,-3.82,2.89
2026-07-07,68.00,66.05,69.79,65.73,437672,2948629568.00,5.94,-3.34,-2.28,1.82
2026-07-08,65.50,63.20,66.04,63.15,394793,2523870190.00,4.38,-4.31,-2.85,1.64
2026-07-09,63.20,64.32,64.47,62.26,375976,2384281762.00,3.50,1.77,1.12,1.56
2026-07-10,64.48,63.43,65.90,63.35,378477,2441773904.00,3.96,-1.38,-0.89,1.57
2026-07-13,63.00,60.95,63.01,60.86,343834,2114421352.00,3.39,-3.91,-2.48,1.43
2026-07-14,60.71,60.25,60.95,58.85,368919,2205032072.00,3.45,-1.15,-0.70,1.53
2026-07-15,60.72,61.04,61.66,59.88,271255,1650688213.00,2.95,1.31,0.79,1.13
2026-07-16,60.84,60.31,61.52,60.11,231000,1403680985.00,2.31,-1.20,-0.73,0.96
2026-07-17,60.18,59.12,60.80,58.57,320488,1913495000.00,3.70,-1.97,-1.19,1.33
2026-07-20,59.50,59.73,61.64,57.32,436659,2570833699.00,7.31,1.03,0.61,1.81
2026-07-21,59.74,61.53,61.68,59.11,361807,2204197904.00,4.30,3.01,1.80,1.50
2026-07-22,60.93,61.59,61.60,60.17,279121,1695941304.00,2.32,0.10,0.06,1.16
2026-07-23,60.98,62.36,62.70,60.23,278467,1712174169.00,4.01,1.25,0.77,1.16
2026-07-24,61.50,59.35,61.50,59.35,273047,1645039582.00,3.45,-4.83,-3.01,1.13
2026-07-27,58.99,59.48,59.88,58.78,204854,1217323010.00,1.85,0.22,0.13,0.85
2026-07-28,58.80,58.67,59.47,58.20,232640,1370000460.00,2.14,-1.36,-0.81,0.97
2026-07-29,58.72,61.61,62.00,58.51,409616,2489218202.00,5.95,5.01,2.94,1.70
2026-07-30,61.22,63.51,64.43,61.15,484417,3068307723.00,5.32,3.08,1.90,2.01
2026-07-31,63.50,64.06,64.93,62.77,347652,2225031603.00,3.40,0.87,0.55,1.44
2026-08-03,64.37,64.11,65.12,64.00,233029,1502994971.00,1.75,0.08,0.05,0.97
2026-08-04,64.54,64.10,64.64,63.34,228906,1464816091.00,2.03,-0.02,-0.01,0.95
2026-08-05,64.35,64.39,64.52,63.45,288132,1847806617.00,1.67,0.45,0.29,1.20
2026-08-06,64.00,63.39,64.85,62.97,282826,1802242067.00,2.92,-1.55,-1.00,1.17
2026-08-07,63.38,64.60,65.10,63.21,306164,1972883303.00,2.98,1.91,1.21,1.27
2026-08-10,64.60,64.34,65.50,64.18,205108,1327288783.00,2.04,-0.40,-0.26,0.85
2026-08-11,64.01,63.97,65.00,63.79,198731,1278367575.00,1.88,-0.58,-0.37,0.82
2026-08-12,64.01,63.15,64.25,63.00,203954,1292155157.00,1.95,-1.28,-0.82,0.85
2026-08-13,63.50,61.07,63.70,61.07,349222,2168032012.00,4.16,-3.29,-2.08,1.45
2026-08-14,61.19,61.20,61.49,60.79,153772,940682800.00,1.15,0.21,0.13,0.64
2026-08-17,61.33,61.97,62.42,60.81,210524,1296212791.00,2.63,1.26,0.77,0.87
2026-08-18,61.93,62.18,62.68,61.08,207324,1279917398.00,2.58,0.34,0.21,0.86
2026-08-19,61.80,59.75,61.80,59.55,273826,1644919144.00,3.62,-3.91,-2.43,1.14
2026-08-20,59.76,59.12,60.49,59.05,157729,938080186.00,2.41,-1.05,-0.63,0.65
2026-08-21,58.80,59.03,59.52,58.30,143068,844334113.00,2.06,-0.15,-0.09,0.59
2026-08-24,58.80,58.30,59.25,57.86,164902,964212871.00,2.35,-1.24,-0.73,0.68
2026-08-25,60.00,61.39,61.99,59.50,440511,2680429908.09,4.27,5.30,3.09,1.83
